Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento
10343885301,AUDIFONOS DIADEMA BLANCOS ST28,0,300,0,0,0,1
6,ADAPTADOR CLAVIJA EU,0,40,0,0,1,2
18118,AUDIFONOS CATS XR-3103,0,70,0,0,0,2
13034091,AUDIFONOS DE CIERRE,0,60,0,0,0,2
10343885295,AUDIFONOS DE DIADEMA CABLE AZULES,0,200,0,0,0,2
71641063228,AUDIFONOS DIADENA NEGROS ,0,320,0,0,0,2
590012327872,AUDIFONOS INALAMBRICO A6S,0,300,0,0,0,2
590012327899,AUDIFONOS INALAMBRICOS 1 HORA AZUL CIELO,0,300,0,0,0,2
590012328024,AUDIFONOS INALAMBRICOS I12,0,250,0,0,0,2
590012328146,AUDIFONOS INALAMBRICOS NEGROS ,0,300,0,0,0,2
590012328243,AUDIFONOS INALMABRICOS 1 HORA ROJOS,0,300,0,0,0,2
590012328395,AUDIFONOS SAMSUNG  SPORT,0,120,0,0,0,2
590012328400,AUDIFONOS SAMSUNG TIPO C,0,160,0,0,0,2
590012328439,AUDIFONOS SONY,0,70,0,0,0,2
590012328582,BLUETHOOTH-AUXILIAR,0,120,0,0,0,2
889296597124,CABLE ORIGINAL IPHONE TIPO C,0,200,0,0,0,2
6326970310005,CARGADOR ORIGINAL HUAWUEI V8,0,250,0,0,0,2
6905187280105,CARGADOR SAMSUNG ORIGINAL V8,0,250,0,0,0,2
6941278481006,CLAVIJA TIPO C,0,180,0,0,0,2
6955727730430,COMBO CARGADOR V8 2.4A 1 HORA 2 ENTRADAS,0,150,0,0,1,2
 11S,MEMORIA USB ADATA 16 GB,0,150,0,0,1,2
 13 PIEL,MOUSE INALAMBRICO RECARGABLE,0,300,0,0,0,2
 A20,PROTCETOR  IPHONE 11 PRO TRAMPTARENTE,0,250,0,0,0,2
 A54 T,PROTECTOR HUAWUEI P30 LITE ROSA,0,250,0,0,0,2
 AGENDA A,PROTECTOR HUAWUEI Y7P SILICON,0,150,0,0,0,2
